Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,1171.000000,1203.699951,1158.300049,1195.949951,1184.479004,1073587
2018-05-09,1180.000000,1188.000000,1161.000000,1171.050049,1159.817871,975513
2018-05-10,1163.250000,1182.500000,1140.800049,1145.900024,1134.909180,708882
2018-05-11,1151.000000,1167.949951,1138.199951,1162.949951,1151.795410,585843
2018-05-14,1174.699951,1191.599976,1150.000000,1187.650024,1176.258545,723655
2018-05-15,1187.650024,1248.599976,1187.000000,1197.400024,1185.915161,1686134
2018-05-16,1188.000000,1209.949951,1179.050049,1203.500000,1191.956665,822216
2018-05-17,1203.500000,1206.199951,1171.550049,1179.400024,1168.087891,660344
2018-05-18,1172.349976,1194.699951,1126.800049,1140.199951,1129.263672,986457
2018-05-21,1140.000000,1153.300049,1085.000000,1133.949951,1123.073608,994419
2018-05-22,1138.000000,1154.900024,1109.750000,1141.000000,1130.056030,1007322
2018-05-23,1137.599976,1168.250000,1114.849976,1160.699951,1149.567139,990088
2018-05-24,1144.000000,1169.699951,1142.199951,1164.900024,1153.726929,619659
2018-05-25,1174.000000,1224.599976,1171.500000,1211.849976,1200.226440,1486435
2018-05-28,1252.849976,1276.449951,1234.250000,1249.099976,1237.119141,1864164
2018-05-29,1247.000000,1265.949951,1210.050049,1218.150024,1206.466064,1138431
2018-05-30,1224.250000,1249.599976,1216.800049,1239.050049,1227.165649,1357325
2018-05-31,1244.949951,1256.000000,1194.300049,1219.250000,1207.555542,11016274
2018-06-01,1209.250000,1225.349976,1171.800049,1176.800049,1165.512695,906165
2018-06-04,1194.699951,1216.199951,1166.849976,1177.199951,1165.908813,1091795
2018-06-05,1179.949951,1189.000000,1155.099976,1176.500000,1165.215576,734856
2018-06-06,1174.000000,1198.800049,1161.250000,1170.400024,1159.174194,611806
2018-06-07,1174.000000,1201.599976,1165.599976,1171.449951,1160.213989,623676
2018-06-08,1171.000000,1193.699951,1165.000000,1186.300049,1174.921631,698260
2018-06-11,1190.000000,1197.349976,1180.250000,1188.400024,1177.001465,476126
2018-06-12,1190.000000,1206.000000,1188.449951,1196.500000,1185.023804,436639
2018-06-13,1197.000000,1233.050049,1197.000000,1218.949951,1207.258423,595904
2018-06-14,1218.949951,1234.800049,1215.500000,1224.150024,1212.408569,434519
2018-06-15,1208.849976,1230.000000,1201.800049,1220.449951,1208.743896,634249
2018-06-18,1240.000000,1249.900024,1230.349976,1241.349976,1229.443604,524887
2018-06-19,1235.000000,1250.000000,1224.099976,1228.650024,1216.865356,543129
2018-06-20,1221.000000,1221.000000,1126.349976,1136.449951,1125.549561,2727498
2018-06-21,1153.000000,1204.699951,1150.000000,1175.949951,1164.670776,3074994
2018-06-22,1179.000000,1190.599976,1160.099976,1187.250000,1175.862549,870780
2018-06-25,1187.000000,1198.000000,1161.199951,1173.099976,1161.848145,670551
2018-06-26,1172.000000,1184.199951,1156.800049,1169.800049,1158.579834,664984
2018-06-27,1165.900024,1165.900024,1137.000000,1149.500000,1138.474609,984346
2018-06-28,1135.900024,1148.000000,1077.000000,1100.150024,1089.597900,1701465
2018-06-29,1100.000000,1125.699951,1070.099976,1088.500000,1078.059570,3116223
