Date,Open,High,Low,Close,Adj Close,Volume
1970-05-07,3.469525,3.531927,3.469525,3.500726,0.486038,364574
1970-05-08,3.500726,3.500726,3.425844,3.457045,0.479974,526830
1970-05-11,3.463285,3.506966,3.463285,3.463285,0.480840,502792
1970-05-12,3.450805,3.450805,3.394643,3.419604,0.474775,614969
1970-05-13,3.413364,3.413364,3.319761,3.319761,0.460913,578912
1970-05-14,3.319761,3.319761,3.232399,3.276080,0.454848,1045647
1970-05-15,3.276080,3.338482,3.226159,3.326001,0.461779,973534
1970-05-18,3.344722,3.407123,3.344722,3.363442,0.466978,953502
1970-05-19,3.363442,3.369683,3.344722,3.344722,0.464379,324511
1970-05-20,3.344722,3.350962,3.194958,3.207439,0.445319,628991
1970-05-21,3.207439,3.219919,3.120076,3.169998,0.440120,817288
1970-05-22,3.169998,3.251120,3.120076,3.182478,0.441853,606956
1970-05-25,3.145037,3.145037,3.076395,3.082636,0.427991,1087714
1970-05-26,3.082636,3.095116,3.020234,3.020234,0.419327,847335
1970-05-27,3.020234,3.163757,3.007754,3.138797,0.435788,1099733
1970-05-28,3.151277,3.238639,3.151277,3.188718,0.442719,873376
1970-05-29,3.188718,3.332242,3.145037,3.313521,0.460047,1205900
1970-06-01,3.313521,3.375923,3.313521,3.357202,0.466111,897414
1970-06-02,3.357202,3.369683,3.307281,3.344722,0.464379,1267998
1970-06-03,3.344722,3.413364,3.332242,3.400883,0.472176,1099733
1970-06-04,3.400883,3.419604,3.375923,3.375923,0.468710,647019
1970-06-05,3.375923,3.375923,3.326001,3.326001,0.461779,741168
1970-06-08,3.326001,3.382163,3.319761,3.363442,0.466978,661042
1970-06-09,3.363442,3.375923,3.357202,3.357202,0.466111,596941
1970-06-10,3.357202,3.357202,3.319761,3.319761,0.460913,532840
1970-06-11,3.313521,3.313521,3.263600,3.301041,0.463997,422666
1970-06-12,3.288561,3.288561,3.244879,3.288561,0.462243,526830
1970-06-15,3.288561,3.332242,3.282320,3.288561,0.462243,296467
1970-06-16,3.288561,3.375923,3.282320,3.369683,0.473645,610963
1970-06-17,3.369683,3.432084,3.357202,3.363442,0.472768,659038
1970-06-18,3.363442,3.438324,3.350962,3.419604,0.480662,548865
1970-06-19,3.457045,3.544407,3.457045,3.482005,0.489433,1500364
1970-06-22,3.482005,3.525686,3.450805,3.513206,0.493819,657035
1970-06-23,3.513206,3.513206,3.450805,3.450805,0.485048,1141799
1970-06-24,3.450805,3.475765,3.394643,3.438324,0.483293,937477
1970-06-25,3.438324,3.469525,3.425844,3.425844,0.481539,384606
1970-06-26,3.419604,3.419604,3.357202,3.363442,0.472768,685079
1970-06-29,3.363442,3.375923,3.344722,3.363442,0.472768,310489
1970-06-30,3.363442,3.407123,3.344722,3.369683,0.473645,448707
1970-07-01,3.369683,3.388403,3.357202,3.382163,0.475400,442697
1970-07-02,3.388403,3.457045,3.388403,3.419604,0.480662,677067
1970-07-06,3.419604,3.463285,3.357202,3.357202,0.471891,526830
1970-07-07,3.357202,3.388403,3.332242,3.357202,0.471891,438691
1970-07-08,3.357202,3.394643,3.344722,3.388403,0.476277,454716
1970-07-09,3.388403,3.413364,3.344722,3.394643,0.477154,641010
1970-07-10,3.469525,3.575608,3.469525,3.575608,0.502590,967524
1970-07-13,3.575608,3.613048,3.569367,3.600568,0.506099,480757
1970-07-14,3.600568,3.600568,3.556887,3.594328,0.505221,492776
1970-07-15,3.594328,3.625529,3.569367,3.606808,0.506976,677067
1970-07-16,3.644249,3.756572,3.644249,3.744092,0.526272,835316
